# q=  0.16000000E-02  0.20000000E-03 -0.20000000E-03  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap

# q=  0.00000000E+00  0.25000000E+00  0.50000000E+00  (qpt 6)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.34653117E-03     -0.36002145E-02     -0.13361870E-05     -0.64322646E-03
       2     -0.66859001E-03     -0.36002145E-02     -0.30827124E-05     -0.64322646E-03
       3     -0.80498071E-03     -0.36002145E-02     -0.64247839E-05     -0.64322646E-03
       4     -0.94811993E-03     -0.36002145E-02     -0.94494751E-05     -0.64322646E-03
       5     -0.11478246E-02     -0.36002145E-02     -0.11757009E-04     -0.64322646E-03
       6     -0.13380973E-02     -0.36002145E-02     -0.13966019E-04     -0.64322646E-03
       7     -0.14071159E-02     -0.36002145E-02     -0.19477071E-04     -0.64322646E-03
       8     -0.14650122E-02     -0.36002145E-02     -0.24029755E-04     -0.64322646E-03
       9     -0.15288580E-02     -0.36002145E-02     -0.28009751E-04     -0.64322646E-03
      10     -0.15778795E-02     -0.36002145E-02     -0.31740424E-04     -0.64322646E-03
      11     -0.16493214E-02     -0.36002145E-02     -0.35106653E-04     -0.64322646E-03
      12     -0.17157856E-02     -0.36002145E-02     -0.38558826E-04     -0.64322646E-03
      13     -0.17742993E-02     -0.36002145E-02     -0.41833131E-04     -0.64322646E-03
      14     -0.18314926E-02     -0.36002145E-02     -0.44347971E-04     -0.64322646E-03
      15     -0.18905956E-02     -0.36002145E-02     -0.47061934E-04     -0.64322646E-03
      16     -0.19471821E-02     -0.36002145E-02     -0.49981797E-04     -0.64322646E-03
      17     -0.19929049E-02     -0.36002145E-02     -0.53037715E-04     -0.64322646E-03
      18     -0.20385399E-02     -0.36002145E-02     -0.57145535E-04     -0.64322646E-03
      19     -0.20858796E-02     -0.36002145E-02     -0.60829143E-04     -0.64322646E-03
      20     -0.21296873E-02     -0.36002145E-02     -0.63591982E-04     -0.64322646E-03
      21     -0.21708499E-02     -0.36002145E-02     -0.66173041E-04     -0.64322646E-03
      22     -0.22124961E-02     -0.36002145E-02     -0.69115662E-04     -0.64322646E-03
      23     -0.22516027E-02     -0.36002145E-02     -0.71892195E-04     -0.64322646E-03
      24     -0.22887400E-02     -0.36002145E-02     -0.75111299E-04     -0.64322646E-03
      25     -0.23250442E-02     -0.36002145E-02     -0.78506988E-04     -0.64322646E-03
      26     -0.23612452E-02     -0.36002145E-02     -0.81484846E-04     -0.64322646E-03
      27     -0.23930890E-02     -0.36002145E-02     -0.85176749E-04     -0.64322646E-03
      28     -0.24241445E-02     -0.36002145E-02     -0.88080339E-04     -0.64322646E-03
      29     -0.24542425E-02     -0.36002145E-02     -0.91538927E-04     -0.64322646E-03
      30     -0.24835264E-02     -0.36002145E-02     -0.94611007E-04     -0.64322646E-03
      31     -0.25132315E-02     -0.36002145E-02     -0.97715574E-04     -0.64322646E-03
      32     -0.25417539E-02     -0.36002145E-02     -0.10063457E-03     -0.64322646E-03
      33     -0.25692694E-02     -0.36002145E-02     -0.10429077E-03     -0.64322646E-03
      34     -0.25977107E-02     -0.36002145E-02     -0.10779012E-03     -0.64322646E-03
      35     -0.26250120E-02     -0.36002145E-02     -0.11098594E-03     -0.64322646E-03
      36     -0.26490337E-02     -0.36002145E-02     -0.11422223E-03     -0.64322646E-03
      37     -0.26750243E-02     -0.36002145E-02     -0.11759414E-03     -0.64322646E-03
      38     -0.26961275E-02     -0.36002145E-02     -0.12411121E-03     -0.64322646E-03
      39     -0.27172426E-02     -0.36002145E-02     -0.13152521E-03     -0.64322646E-03
      40     -0.27389337E-02     -0.36002145E-02     -0.13737241E-03     -0.64322646E-03
      41     -0.27599987E-02     -0.36002145E-02     -0.14436937E-03     -0.64322646E-03
      42     -0.27797395E-02     -0.36002145E-02     -0.15061558E-03     -0.64322646E-03
      43     -0.27976447E-02     -0.36002145E-02     -0.15827187E-03     -0.64322646E-03
      44     -0.28196533E-02     -0.36002145E-02     -0.16320307E-03     -0.64322646E-03
      45     -0.28400185E-02     -0.36002145E-02     -0.16813033E-03     -0.64322646E-03
      46     -0.28584595E-02     -0.36002145E-02     -0.17276617E-03     -0.64322646E-03
      47     -0.28771554E-02     -0.36002145E-02     -0.17735640E-03     -0.64322646E-03
      48     -0.28948672E-02     -0.36002145E-02     -0.18133721E-03     -0.64322646E-03
      49     -0.29133132E-02     -0.36002145E-02     -0.18519656E-03     -0.64322646E-03
      50     -0.29311696E-02     -0.36002145E-02     -0.18879245E-03     -0.64322646E-03
      51     -0.29467763E-02     -0.36002145E-02     -0.19229537E-03     -0.64322646E-03
      52     -0.29635626E-02     -0.36002145E-02     -0.19519703E-03     -0.64322646E-03
      53     -0.29785351E-02     -0.36002145E-02     -0.19887587E-03     -0.64322646E-03
      54     -0.29932984E-02     -0.36002145E-02     -0.20223669E-03     -0.64322646E-03
      55     -0.30073889E-02     -0.36002145E-02     -0.20534343E-03     -0.64322646E-03
      56     -0.30214017E-02     -0.36002145E-02     -0.20815014E-03     -0.64322646E-03
      57     -0.30350649E-02     -0.36002145E-02     -0.21055271E-03     -0.64322646E-03
      58     -0.30483702E-02     -0.36002145E-02     -0.21266742E-03     -0.64322646E-03
      59     -0.30607590E-02     -0.36002145E-02     -0.21506034E-03     -0.64322646E-03
      60     -0.30735199E-02     -0.36002145E-02     -0.21715340E-03     -0.64322646E-03
      61     -0.30863119E-02     -0.36002145E-02     -0.21958114E-03     -0.64322646E-03
      62     -0.30982835E-02     -0.36002145E-02     -0.22216304E-03     -0.64322646E-03
      63     -0.31093466E-02     -0.36002145E-02     -0.22449866E-03     -0.64322646E-03
      64     -0.31208745E-02     -0.36002145E-02     -0.22643316E-03     -0.64322646E-03
      65     -0.31317734E-02     -0.36002145E-02     -0.22922445E-03     -0.64322646E-03
      66     -0.31418114E-02     -0.36002145E-02     -0.23121645E-03     -0.64322646E-03
      67     -0.31510233E-02     -0.36002145E-02     -0.23396593E-03     -0.64322646E-03
      68     -0.31603122E-02     -0.36002145E-02     -0.23631476E-03     -0.64322646E-03
      69     -0.31692636E-02     -0.36002145E-02     -0.23804942E-03     -0.64322646E-03
      70     -0.31777546E-02     -0.36002145E-02     -0.24016846E-03     -0.64322646E-03
      71     -0.31863410E-02     -0.36002145E-02     -0.24219061E-03     -0.64322646E-03
      72     -0.31938995E-02     -0.36002145E-02     -0.24419619E-03     -0.64322646E-03
      73     -0.32016145E-02     -0.36002145E-02     -0.24615964E-03     -0.64322646E-03
      74     -0.32088789E-02     -0.36002145E-02     -0.24802165E-03     -0.64322646E-03
      75     -0.32156286E-02     -0.36002145E-02     -0.24999687E-03     -0.64322646E-03
      76     -0.32224304E-02     -0.36002145E-02     -0.25220406E-03     -0.64322646E-03
      77     -0.32291795E-02     -0.36002145E-02     -0.25440428E-03     -0.64322646E-03
      78     -0.32355932E-02     -0.36002145E-02     -0.25632584E-03     -0.64322646E-03
      79     -0.32421120E-02     -0.36002145E-02     -0.25830658E-03     -0.64322646E-03
      80     -0.32486505E-02     -0.36002145E-02     -0.26016541E-03     -0.64322646E-03
      81     -0.32544227E-02     -0.36002145E-02     -0.26218317E-03     -0.64322646E-03
      82     -0.32601304E-02     -0.36002145E-02     -0.26415370E-03     -0.64322646E-03
      83     -0.32659898E-02     -0.36002145E-02     -0.26582103E-03     -0.64322646E-03
      84     -0.32715660E-02     -0.36002145E-02     -0.26770512E-03     -0.64322646E-03
      85     -0.32768439E-02     -0.36002145E-02     -0.26964544E-03     -0.64322646E-03
      86     -0.32820941E-02     -0.36002145E-02     -0.27163134E-03     -0.64322646E-03
      87     -0.32872100E-02     -0.36002145E-02     -0.27341245E-03     -0.64322646E-03
      88     -0.32925694E-02     -0.36002145E-02     -0.27516085E-03     -0.64322646E-03
      89     -0.32972923E-02     -0.36002145E-02     -0.27748774E-03     -0.64322646E-03
      90     -0.33020696E-02     -0.36002145E-02     -0.27956844E-03     -0.64322646E-03
      91     -0.33070079E-02     -0.36002145E-02     -0.28139531E-03     -0.64322646E-03
      92     -0.33118777E-02     -0.36002145E-02     -0.28316306E-03     -0.64322646E-03
      93     -0.33165463E-02     -0.36002145E-02     -0.28500329E-03     -0.64322646E-03
      94     -0.33212811E-02     -0.36002145E-02     -0.28663144E-03     -0.64322646E-03
      95     -0.33262518E-02     -0.36002145E-02     -0.28811538E-03     -0.64322646E-03
      96     -0.33304147E-02     -0.36002145E-02     -0.28991988E-03     -0.64322646E-03
      97     -0.33348003E-02     -0.36002145E-02     -0.29148650E-03     -0.64322646E-03
      98     -0.33387510E-02     -0.36002145E-02     -0.29320140E-03     -0.64322646E-03
      99     -0.33424692E-02     -0.36002145E-02     -0.29492899E-03     -0.64322646E-03
     100     -0.33464031E-02     -0.36002145E-02     -0.29649943E-03     -0.64322646E-03
     101     -0.33498304E-02     -0.36002145E-02     -0.29801210E-03     -0.64322646E-03
     102     -0.33534459E-02     -0.36002145E-02     -0.29942198E-03     -0.64322646E-03
     103     -0.33567165E-02     -0.36002145E-02     -0.30119934E-03     -0.64322646E-03
     104     -0.33599717E-02     -0.36002145E-02     -0.30270905E-03     -0.64322646E-03
     105     -0.33631486E-02     -0.36002145E-02     -0.30434381E-03     -0.64322646E-03
     106     -0.33661162E-02     -0.36002145E-02     -0.30601214E-03     -0.64322646E-03
     107     -0.33688812E-02     -0.36002145E-02     -0.30751364E-03     -0.64322646E-03
     108     -0.33717295E-02     -0.36002145E-02     -0.30919006E-03     -0.64322646E-03
     109     -0.33747263E-02     -0.36002145E-02     -0.31057377E-03     -0.64322646E-03
     110     -0.33777180E-02     -0.36002145E-02     -0.31203776E-03     -0.64322646E-03
     111     -0.33803672E-02     -0.36002145E-02     -0.31360743E-03     -0.64322646E-03
     112     -0.33830778E-02     -0.36002145E-02     -0.31508627E-03     -0.64322646E-03
     113     -0.33856244E-02     -0.36002145E-02     -0.31663864E-03     -0.64322646E-03
     114     -0.33884074E-02     -0.36002145E-02     -0.31812831E-03     -0.64322646E-03
     115     -0.33910308E-02     -0.36002145E-02     -0.31968228E-03     -0.64322646E-03
     116     -0.33934939E-02     -0.36002145E-02     -0.32132287E-03     -0.64322646E-03
     117     -0.33958155E-02     -0.36002145E-02     -0.32311607E-03     -0.64322646E-03
     118     -0.33982089E-02     -0.36002145E-02     -0.32480037E-03     -0.64322646E-03
     119     -0.34004499E-02     -0.36002145E-02     -0.32626362E-03     -0.64322646E-03
     120     -0.34026652E-02     -0.36002145E-02     -0.32793461E-03     -0.64322646E-03
     121     -0.34049631E-02     -0.36002145E-02     -0.32939404E-03     -0.64322646E-03
     122     -0.34070242E-02     -0.36002145E-02     -0.33084586E-03     -0.64322646E-03
     123     -0.34091255E-02     -0.36002145E-02     -0.33226514E-03     -0.64322646E-03
     124     -0.34113562E-02     -0.36002145E-02     -0.33374818E-03     -0.64322646E-03
     125     -0.34132487E-02     -0.36002145E-02     -0.33535263E-03     -0.64322646E-03
     126     -0.34151133E-02     -0.36002145E-02     -0.33677599E-03     -0.64322646E-03
     127     -0.34169687E-02     -0.36002145E-02     -0.33816382E-03     -0.64322646E-03
     128     -0.34190025E-02     -0.36002145E-02     -0.33961244E-03     -0.64322646E-03
     129     -0.34210095E-02     -0.36002145E-02     -0.34097642E-03     -0.64322646E-03
     130     -0.34227521E-02     -0.36002145E-02     -0.34238350E-03     -0.64322646E-03
     131     -0.34243473E-02     -0.36002145E-02     -0.34377260E-03     -0.64322646E-03
     132     -0.34260671E-02     -0.36002145E-02     -0.34499028E-03     -0.64322646E-03
     133     -0.34277228E-02     -0.36002145E-02     -0.34630968E-03     -0.64322646E-03
     134     -0.34293790E-02     -0.36002145E-02     -0.34744485E-03     -0.64322646E-03
     135     -0.34309832E-02     -0.36002145E-02     -0.34875069E-03     -0.64322646E-03
     136     -0.34326419E-02     -0.36002145E-02     -0.35002055E-03     -0.64322646E-03
     137     -0.34342171E-02     -0.36002145E-02     -0.35129121E-03     -0.64322646E-03
     138     -0.34359517E-02     -0.36002145E-02     -0.35252184E-03     -0.64322646E-03
     139     -0.34375221E-02     -0.36002145E-02     -0.35377461E-03     -0.64322646E-03
     140     -0.34390834E-02     -0.36002145E-02     -0.35502984E-03     -0.64322646E-03
     141     -0.34405551E-02     -0.36002145E-02     -0.35634805E-03     -0.64322646E-03
     142     -0.34419670E-02     -0.36002145E-02     -0.35772702E-03     -0.64322646E-03
     143     -0.34433141E-02     -0.36002145E-02     -0.35910056E-03     -0.64322646E-03
     144     -0.34445844E-02     -0.36002145E-02     -0.36049301E-03     -0.64322646E-03
     145     -0.34458692E-02     -0.36002145E-02     -0.36167981E-03     -0.64322646E-03
     146     -0.34471210E-02     -0.36002145E-02     -0.36299633E-03     -0.64322646E-03
     147     -0.34484054E-02     -0.36002145E-02     -0.36436115E-03     -0.64322646E-03
     148     -0.34496679E-02     -0.36002145E-02     -0.36568800E-03     -0.64322646E-03
     149     -0.34508625E-02     -0.36002145E-02     -0.36701533E-03     -0.64322646E-03
     150     -0.34521328E-02     -0.36002145E-02     -0.36831296E-03     -0.64322646E-03
     151     -0.34532840E-02     -0.36002145E-02     -0.36966625E-03     -0.64322646E-03
     152     -0.34544999E-02     -0.36002145E-02     -0.37108407E-03     -0.64322646E-03
     153     -0.34556524E-02     -0.36002145E-02     -0.37249717E-03     -0.64322646E-03
     154     -0.34568048E-02     -0.36002145E-02     -0.37379205E-03     -0.64322646E-03
     155     -0.34578838E-02     -0.36002145E-02     -0.37500529E-03     -0.64322646E-03
     156     -0.34589294E-02     -0.36002145E-02     -0.37650022E-03     -0.64322646E-03
     157     -0.34599481E-02     -0.36002145E-02     -0.37774952E-03     -0.64322646E-03
     158     -0.34610961E-02     -0.36002145E-02     -0.37910407E-03     -0.64322646E-03
     159     -0.34620691E-02     -0.36002145E-02     -0.38044668E-03     -0.64322646E-03
     160     -0.34630989E-02     -0.36002145E-02     -0.38171669E-03     -0.64322646E-03
     161     -0.34640805E-02     -0.36002145E-02     -0.38311605E-03     -0.64322646E-03
     162     -0.34651173E-02     -0.36002145E-02     -0.38430172E-03     -0.64322646E-03
     163     -0.34661523E-02     -0.36002145E-02     -0.38557541E-03     -0.64322646E-03
     164     -0.34671713E-02     -0.36002145E-02     -0.38687866E-03     -0.64322646E-03
     165     -0.34682485E-02     -0.36002145E-02     -0.38802080E-03     -0.64322646E-03
     166     -0.34691891E-02     -0.36002145E-02     -0.38938021E-03     -0.64322646E-03
     167     -0.34700476E-02     -0.36002145E-02     -0.39068183E-03     -0.64322646E-03
     168     -0.34708887E-02     -0.36002145E-02     -0.39205012E-03     -0.64322646E-03
     169     -0.34717783E-02     -0.36002145E-02     -0.39322864E-03     -0.64322646E-03
     170     -0.34726133E-02     -0.36002145E-02     -0.39456348E-03     -0.64322646E-03
     171     -0.34734760E-02     -0.36002145E-02     -0.39589301E-03     -0.64322646E-03
     172     -0.34743033E-02     -0.36002145E-02     -0.39713766E-03     -0.64322646E-03
     173     -0.34751550E-02     -0.36002145E-02     -0.39841308E-03     -0.64322646E-03
     174     -0.34760033E-02     -0.36002145E-02     -0.39971635E-03     -0.64322646E-03
     175     -0.34767842E-02     -0.36002145E-02     -0.40088828E-03     -0.64322646E-03
     176     -0.34775891E-02     -0.36002145E-02     -0.40212322E-03     -0.64322646E-03
     177     -0.34783306E-02     -0.36002145E-02     -0.40331100E-03     -0.64322646E-03
     178     -0.34790797E-02     -0.36002145E-02     -0.40455316E-03     -0.64322646E-03
     179     -0.34798470E-02     -0.36002145E-02     -0.40574141E-03     -0.64322646E-03
     180     -0.34806150E-02     -0.36002145E-02     -0.40695508E-03     -0.64322646E-03
     181     -0.34813479E-02     -0.36002145E-02     -0.40822588E-03     -0.64322646E-03
     182     -0.34820584E-02     -0.36002145E-02     -0.40938338E-03     -0.64322646E-03
     183     -0.34827727E-02     -0.36002145E-02     -0.41046634E-03     -0.64322646E-03
     184     -0.34834135E-02     -0.36002145E-02     -0.41160962E-03     -0.64322646E-03
     185     -0.34841509E-02     -0.36002145E-02     -0.41271612E-03     -0.64322646E-03
     186     -0.34848544E-02     -0.36002145E-02     -0.41374424E-03     -0.64322646E-03
     187     -0.34855865E-02     -0.36002145E-02     -0.41490306E-03     -0.64322646E-03
     188     -0.34862563E-02     -0.36002145E-02     -0.41610454E-03     -0.64322646E-03
     189     -0.34869379E-02     -0.36002145E-02     -0.41722748E-03     -0.64322646E-03
     190     -0.34875535E-02     -0.36002145E-02     -0.41831218E-03     -0.64322646E-03
     191     -0.34881728E-02     -0.36002145E-02     -0.41935359E-03     -0.64322646E-03
     192     -0.34888244E-02     -0.36002145E-02     -0.42048291E-03     -0.64322646E-03
     193     -0.34895132E-02     -0.36002145E-02     -0.42161019E-03     -0.64322646E-03
     194     -0.34900967E-02     -0.36002145E-02     -0.42273555E-03     -0.64322646E-03
     195     -0.34907038E-02     -0.36002145E-02     -0.42383489E-03     -0.64322646E-03
     196     -0.34912580E-02     -0.36002145E-02     -0.42490368E-03     -0.64322646E-03
     197     -0.34917841E-02     -0.36002145E-02     -0.42591674E-03     -0.64322646E-03
     198     -0.34923389E-02     -0.36002145E-02     -0.42686843E-03     -0.64322646E-03
     199     -0.34929053E-02     -0.36002145E-02     -0.42790764E-03     -0.64322646E-03
     200     -0.34935188E-02     -0.36002145E-02     -0.42888641E-03     -0.64322646E-03
     201     -0.34940589E-02     -0.36002145E-02     -0.42986470E-03     -0.64322646E-03
     202     -0.34946128E-02     -0.36002145E-02     -0.43084565E-03     -0.64322646E-03
     203     -0.34951839E-02     -0.36002145E-02     -0.43184245E-03     -0.64322646E-03
     204     -0.34957187E-02     -0.36002145E-02     -0.43285472E-03     -0.64322646E-03
     205     -0.34962098E-02     -0.36002145E-02     -0.43380327E-03     -0.64322646E-03
     206     -0.34967120E-02     -0.36002145E-02     -0.43483955E-03     -0.64322646E-03
     207     -0.34972123E-02     -0.36002145E-02     -0.43585829E-03     -0.64322646E-03
     208     -0.34977420E-02     -0.36002145E-02     -0.43689597E-03     -0.64322646E-03
     209     -0.34982166E-02     -0.36002145E-02     -0.43791498E-03     -0.64322646E-03
     210     -0.34987128E-02     -0.36002145E-02     -0.43896501E-03     -0.64322646E-03
     211     -0.34991726E-02     -0.36002145E-02     -0.43986851E-03     -0.64322646E-03
     212     -0.34996063E-02     -0.36002145E-02     -0.44083066E-03     -0.64322646E-03
     213     -0.35000479E-02     -0.36002145E-02     -0.44186253E-03     -0.64322646E-03
     214     -0.35005013E-02     -0.36002145E-02     -0.44282649E-03     -0.64322646E-03
     215     -0.35009483E-02     -0.36002145E-02     -0.44387024E-03     -0.64322646E-03
     216     -0.35013789E-02     -0.36002145E-02     -0.44489712E-03     -0.64322646E-03
     217     -0.35017903E-02     -0.36002145E-02     -0.44580315E-03     -0.64322646E-03
     218     -0.35022292E-02     -0.36002145E-02     -0.44685025E-03     -0.64322646E-03

# q=  0.00000000E+00  0.25000000E+00  0.75000000E+00  (qpt 7)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.34471871E-03     -0.68471067E-02     -0.18399632E-05     -0.64371318E-03
       2     -0.69146397E-03     -0.68471067E-02     -0.37670893E-05     -0.64371318E-03
       3     -0.84796183E-03     -0.68471067E-02     -0.54725084E-05     -0.64371318E-03
       4     -0.99556455E-03     -0.68471067E-02     -0.70074153E-05     -0.64371318E-03
       5     -0.13588139E-02     -0.68471067E-02     -0.97976601E-05     -0.64371318E-03
       6     -0.16026270E-02     -0.68471067E-02     -0.12319398E-04     -0.64371318E-03
       7     -0.17260362E-02     -0.68471067E-02     -0.17468320E-04     -0.64371318E-03
       8     -0.19129422E-02     -0.68471067E-02     -0.22212198E-04     -0.64371318E-03
       9     -0.20769310E-02     -0.68471067E-02     -0.26271885E-04     -0.64371318E-03
      10     -0.21965597E-02     -0.68471067E-02     -0.29617824E-04     -0.64371318E-03
      11     -0.23564198E-02     -0.68471067E-02     -0.32760030E-04     -0.64371318E-03
      12     -0.25077231E-02     -0.68471067E-02     -0.35998725E-04     -0.64371318E-03
      13     -0.26391130E-02     -0.68471067E-02     -0.38860231E-04     -0.64371318E-03
      14     -0.27781613E-02     -0.68471067E-02     -0.41386676E-04     -0.64371318E-03
      15     -0.29129952E-02     -0.68471067E-02     -0.44053146E-04     -0.64371318E-03
      16     -0.30406290E-02     -0.68471067E-02     -0.46767525E-04     -0.64371318E-03
      17     -0.31335320E-02     -0.68471067E-02     -0.49436045E-04     -0.64371318E-03
      18     -0.32268958E-02     -0.68471067E-02     -0.52619706E-04     -0.64371318E-03
      19     -0.33294169E-02     -0.68471067E-02     -0.55734789E-04     -0.64371318E-03
      20     -0.34187328E-02     -0.68471067E-02     -0.58503618E-04     -0.64371318E-03
      21     -0.35034025E-02     -0.68471067E-02     -0.61416920E-04     -0.64371318E-03
      22     -0.36023762E-02     -0.68471067E-02     -0.64394781E-04     -0.64371318E-03
      23     -0.36834607E-02     -0.68471067E-02     -0.67590858E-04     -0.64371318E-03
      24     -0.37568565E-02     -0.68471067E-02     -0.70961055E-04     -0.64371318E-03
      25     -0.38272132E-02     -0.68471067E-02     -0.74122536E-04     -0.64371318E-03
      26     -0.39074622E-02     -0.68471067E-02     -0.77307812E-04     -0.64371318E-03
      27     -0.39689336E-02     -0.68471067E-02     -0.80860738E-04     -0.64371318E-03
      28     -0.40427627E-02     -0.68471067E-02     -0.83803825E-04     -0.64371318E-03
      29     -0.41034766E-02     -0.68471067E-02     -0.87227109E-04     -0.64371318E-03
      30     -0.41646374E-02     -0.68471067E-02     -0.90404243E-04     -0.64371318E-03
      31     -0.42312305E-02     -0.68471067E-02     -0.93689366E-04     -0.64371318E-03
      32     -0.42913045E-02     -0.68471067E-02     -0.96968525E-04     -0.64371318E-03
      33     -0.43507302E-02     -0.68471067E-02     -0.10052447E-03     -0.64371318E-03
      34     -0.44115027E-02     -0.68471067E-02     -0.10400220E-03     -0.64371318E-03
      35     -0.44784993E-02     -0.68471067E-02     -0.10761780E-03     -0.64371318E-03
      36     -0.45285847E-02     -0.68471067E-02     -0.11105432E-03     -0.64371318E-03
      37     -0.45842904E-02     -0.68471067E-02     -0.11422446E-03     -0.64371318E-03
      38     -0.46311569E-02     -0.68471067E-02     -0.11875652E-03     -0.64371318E-03
      39     -0.46763513E-02     -0.68471067E-02     -0.12342722E-03     -0.64371318E-03
      40     -0.47234969E-02     -0.68471067E-02     -0.12783419E-03     -0.64371318E-03
      41     -0.47711591E-02     -0.68471067E-02     -0.13228408E-03     -0.64371318E-03
      42     -0.48260505E-02     -0.68471067E-02     -0.13722830E-03     -0.64371318E-03
      43     -0.48618492E-02     -0.68471067E-02     -0.14234145E-03     -0.64371318E-03
      44     -0.49164315E-02     -0.68471067E-02     -0.14649179E-03     -0.64371318E-03
      45     -0.49648396E-02     -0.68471067E-02     -0.15062254E-03     -0.64371318E-03
      46     -0.50099675E-02     -0.68471067E-02     -0.15492286E-03     -0.64371318E-03
      47     -0.50564113E-02     -0.68471067E-02     -0.15889422E-03     -0.64371318E-03
      48     -0.51022111E-02     -0.68471067E-02     -0.16234796E-03     -0.64371318E-03
      49     -0.51432710E-02     -0.68471067E-02     -0.16548716E-03     -0.64371318E-03
      50     -0.51857081E-02     -0.68471067E-02     -0.16863210E-03     -0.64371318E-03
      51     -0.52203735E-02     -0.68471067E-02     -0.17201613E-03     -0.64371318E-03
      52     -0.52601505E-02     -0.68471067E-02     -0.17530963E-03     -0.64371318E-03
      53     -0.52948019E-02     -0.68471067E-02     -0.17853352E-03     -0.64371318E-03
      54     -0.53282121E-02     -0.68471067E-02     -0.18172183E-03     -0.64371318E-03
      55     -0.53617832E-02     -0.68471067E-02     -0.18475443E-03     -0.64371318E-03
      56     -0.53939021E-02     -0.68471067E-02     -0.18749866E-03     -0.64371318E-03
      57     -0.54242028E-02     -0.68471067E-02     -0.18992599E-03     -0.64371318E-03
      58     -0.54553819E-02     -0.68471067E-02     -0.19236302E-03     -0.64371318E-03
      59     -0.54851554E-02     -0.68471067E-02     -0.19485277E-03     -0.64371318E-03
      60     -0.55156210E-02     -0.68471067E-02     -0.19710224E-03     -0.64371318E-03
      61     -0.55487078E-02     -0.68471067E-02     -0.19955432E-03     -0.64371318E-03
      62     -0.55768740E-02     -0.68471067E-02     -0.20194569E-03     -0.64371318E-03
      63     -0.56021526E-02     -0.68471067E-02     -0.20436058E-03     -0.64371318E-03
      64     -0.56284834E-02     -0.68471067E-02     -0.20646003E-03     -0.64371318E-03
      65     -0.56548033E-02     -0.68471067E-02     -0.20888384E-03     -0.64371318E-03
      66     -0.56789421E-02     -0.68471067E-02     -0.21099534E-03     -0.64371318E-03
      67     -0.56980907E-02     -0.68471067E-02     -0.21335444E-03     -0.64371318E-03
      68     -0.57228080E-02     -0.68471067E-02     -0.21574457E-03     -0.64371318E-03
      69     -0.57519269E-02     -0.68471067E-02     -0.21791565E-03     -0.64371318E-03
      70     -0.57728417E-02     -0.68471067E-02     -0.22022218E-03     -0.64371318E-03
      71     -0.57996286E-02     -0.68471067E-02     -0.22256308E-03     -0.64371318E-03
      72     -0.58218560E-02     -0.68471067E-02     -0.22462984E-03     -0.64371318E-03
      73     -0.58404148E-02     -0.68471067E-02     -0.22693222E-03     -0.64371318E-03
      74     -0.58579950E-02     -0.68471067E-02     -0.22882612E-03     -0.64371318E-03
      75     -0.58736848E-02     -0.68471067E-02     -0.23078596E-03     -0.64371318E-03
      76     -0.58895034E-02     -0.68471067E-02     -0.23293322E-03     -0.64371318E-03
      77     -0.59064013E-02     -0.68471067E-02     -0.23501000E-03     -0.64371318E-03
      78     -0.59203310E-02     -0.68471067E-02     -0.23697813E-03     -0.64371318E-03
      79     -0.59378793E-02     -0.68471067E-02     -0.23905227E-03     -0.64371318E-03
      80     -0.59555216E-02     -0.68471067E-02     -0.24085523E-03     -0.64371318E-03
      81     -0.59719776E-02     -0.68471067E-02     -0.24288221E-03     -0.64371318E-03
      82     -0.59872240E-02     -0.68471067E-02     -0.24479069E-03     -0.64371318E-03
      83     -0.60022436E-02     -0.68471067E-02     -0.24660456E-03     -0.64371318E-03
      84     -0.60152484E-02     -0.68471067E-02     -0.24853117E-03     -0.64371318E-03
      85     -0.60287723E-02     -0.68471067E-02     -0.25051223E-03     -0.64371318E-03
      86     -0.60416434E-02     -0.68471067E-02     -0.25229319E-03     -0.64371318E-03
      87     -0.60536790E-02     -0.68471067E-02     -0.25405333E-03     -0.64371318E-03
      88     -0.60672190E-02     -0.68471067E-02     -0.25584731E-03     -0.64371318E-03
      89     -0.60787375E-02     -0.68471067E-02     -0.25769033E-03     -0.64371318E-03
      90     -0.60911829E-02     -0.68471067E-02     -0.25957489E-03     -0.64371318E-03
      91     -0.61032446E-02     -0.68471067E-02     -0.26120839E-03     -0.64371318E-03
      92     -0.61158456E-02     -0.68471067E-02     -0.26284990E-03     -0.64371318E-03
      93     -0.61273960E-02     -0.68471067E-02     -0.26461237E-03     -0.64371318E-03
      94     -0.61394415E-02     -0.68471067E-02     -0.26613743E-03     -0.64371318E-03
      95     -0.61520632E-02     -0.68471067E-02     -0.26770404E-03     -0.64371318E-03
      96     -0.61619264E-02     -0.68471067E-02     -0.26940952E-03     -0.64371318E-03
      97     -0.61732830E-02     -0.68471067E-02     -0.27098330E-03     -0.64371318E-03
      98     -0.61837486E-02     -0.68471067E-02     -0.27272055E-03     -0.64371318E-03
      99     -0.61934900E-02     -0.68471067E-02     -0.27440268E-03     -0.64371318E-03
     100     -0.62035373E-02     -0.68471067E-02     -0.27611026E-03     -0.64371318E-03
     101     -0.62124957E-02     -0.68471067E-02     -0.27772217E-03     -0.64371318E-03
     102     -0.62226226E-02     -0.68471067E-02     -0.27948648E-03     -0.64371318E-03
